601716,18317287373.541203 51964721713.243904 82971293498.13245 104594793227.74986 136531837211.78218,366345747.47082406 519647217.1324391 829712934.9813244 1045947932.2774986 1365318372.117822
223917,7535538244.831696 39702596537.17043 86753844094.70378 126585253605.29941 190344926527.2745,150710764.89663392 397025965.37170434 867538440.9470378 1265852536.052994 1903449265.2727451
227582,69889011277.17697 292228417625.8352 537123908276.7187 694082797073.6586 931625044736.4424,1397780225.5435395 2922284176.2583523 5371239082.767187 6940827970.736586 9316250447.364424
31542,1171396081.3357983 6463463456.287535 16040871787.92742 24521078628.611244 37104653971.24182,23427921.626715966 64634634.562875345 160408717.8792742 245210786.28611246 371046539.7124182
568138,27477686417.107075 71186368155.25598 114959948172.41418 151034388310.32642 208179821884.17856,549553728.3421415 711863681.5525599 1149599481.7241418 1510343883.103264 2081798218.8417857
461203,30681656192.534225 93202421097.85335 160579176843.6758 214971029114.69592 299000676496.1536,613633123.8506845 932024210.9785335 1605791768.436758 2149710291.1469593 2990006764.9615364
617528,9936259246.85253 22431626160.830406 32553752859.34079 40020438426.471664 50508297151.975945,198725184.93705058 224316261.60830405 325537528.5934079 400204384.2647166 505082971.5197595
388432,9355057005.329954 23579495172.09957 39314876126.94461 53521089103.03798 75511953752.61528,187101140.1065991 235794951.72099572 393148761.26944613 535210891.03037983 755119537.5261528
427831,12519822266.648623 36776410582.56428 65894564601.224304 91144148811.17902 130839112926.382,250396445.33297247 367764105.82564276 658945646.012243 911441488.1117902 1308391129.2638202
572207,47762238315.27172 109725440437.58766 158549625746.7274 193782814089.3686 245762885390.52454,955244766.3054345 1097254404.3758767 1585496257.467274 1937828140.893686 2457628853.9052453
322180,1711778774.6948984 9770618066.39946 24061296066.014454 36079118410.710266 55465958268.119,34235575.49389797 97706180.6639946 240612960.66014454 360791184.1071027 554659582.68119
547081,15416193861.030125 58663139362.814384 125141839842.07765 186096669728.63693 286728621587.0052,308323877.2206025 586631393.6281439 1251418398.4207766 1860966697.2863693 2867286215.870052
431391,38574443786.98345 94904781837.69357 134936037856.46678 165394083436.48993 211740899163.11362,771488875.7396691 949047818.3769357 1349360378.564668 1653940834.3648994 2117408991.6311362
560426,71064283859.68869 175352964111.002 282037184388.8331 370270764603.8767 510591398550.0101,1421285677.1937737 1753529641.1100202 2820371843.8883314 3702707646.0387673 5105913985.500101
